Country,Year,code_wdi,code_ifs,region,incomegroup,incomesubgroup,ka,kai,kao,eq,eqi,eqo,eq_plbn,eq_siln,eq_pabr,eq_siar,bo,boi,boo,bo_plbn,bo_siln,bo_pabr,bo_siar,mm,mmi,mmo,mm_plbn,mm_siln,mm_pabr,mm_siar,ci,cii,cio,ci_plbn,ci_siln,ci_pabr,ci_siar,de,dei,deo,de_plbn,de_siln,de_pabr,de_siar,cc,cci,cco,fc,fci,fco,gs,gsi,gso,di,dii,dio,ldi,re,rei,reo,re_pabr,re_plbn,re_slbn
Algeria,2005,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.86,0.71,1.00,0.75,0.5,1,0,1,1,1,0.75,0.5,1,0,1,1,1,0,0,,0,n.a,n.a,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2006,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.86,0.71,1.00,0.75,0.5,1,0,1,1,1,0.75,0.5,1,0,1,1,1,0,0,,0,n.a,n.a,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2007,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.86,0.71,1.00,0.75,0.5,1,0,1,1,1,0.75,0.5,1,0,1,1,1,0,0,,0,n.a,n.a,n.a,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,n.a,n.a
Algeria,2008,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.79,0.88,0.70,0.75,1,0.5,1,0,1,1,0.75,1,0.5,1,0,1,1,0,0,0,0,0,0,0,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,n.a
Algeria,2009,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.79,0.88,0.70,0.75,1,0.5,1,0,1,1,0.75,1,0.5,1,0,1,1,0,0,0,0,0,0,0,1,,1,n.r,n.r,1,n.r,1,,1,n.a,n.a,1,n.a,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,n.a
Algeria,2010,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.75,0.70,0.80,1,1,1,1,1,1,n.a,1,1,1,1,1,1,1,0.25,0,0.5,0,1,0,0,0.5,0,1,0,1,1,0,0.25,0,0.5,0,0,1,0,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,2011,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.70,0.60,0.80,1,1,1,1,1,1,n.a,1,1,1,1,1,1,1,0.25,0,0.5,0,1,0,0,0.5,0,1,0,1,1,0,0.25,0,0.5,0,0,1,0,0.5,0,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,2012,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.70,0.60,0.80,1,1,1,1,1,1,n.a,1,1,1,1,1,1,1,0.25,0,0.5,0,1,0,0,0.5,0,1,0,1,1,0,0.25,0,0.5,0,0,1,0,0.5,0,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,2013,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.83,0.70,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n.r,1,1,1,0.5,0,1,0,1,1,0,0.25,0,0.5,0,1,0,0,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,2014,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.93,0.90,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0,0.5,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,2015,DZA,612,Middle East & North Africa,Middle income,Upper middle income,0.93,0.90,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0,0.5,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,1995,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.93,0.86,1.00,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.a,n.a,n.a,n.a,1,1,1,1,1,1,,n.a,n.a,0.5,0,1,1,1,1,1,1,1,n.a
Angola,1996,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.93,0.86,1.00,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.a,n.a,n.a,n.a,1,1,1,1,1,1,,n.a,n.a,0.5,0,1,1,1,1,1,1,1,n.a
Angola,1997,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.88,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.a,n.a,n.a,n.a,1,1,1,1,1,1,,n.a,n.a,0,0,0,1,1,1,1,1,1,n.a
Angola,1998,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.88,0.88,0.88,1,1,1,1,1,1,1,,,,n.a,n.a,n.a,n.a,1,1,1,1,1,1,1,1,1,1,n.a,n.a,1,1,,,,n.a,n.a,n.a,n.a,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,n.a
Angola,1999,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.90,0.90,0.90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Angola,2000,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.78,0.78,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Angola,2001,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.78,0.78,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Angola,2002,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.78,0.78,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
Angola,2003,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.83,0.89,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1
Angola,2004,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.83,0.89,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,0.5,1,0,0,1,1,1,1,1,1
Angola,2005,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.81,0.78,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,0.25,0,0.5,0,0,1
Angola,2006,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.81,0.78,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,0.25,0,0.5,0,0,1
Angola,2007,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2008,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2009,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2010,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2011,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2012,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2013,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.89,0.89,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Angola,2014,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.88,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,,,,n.r,n.r,n.r
Angola,2015,AGO,614,Sub-Saharan Africa,Middle income,Upper middle income,0.88,0.88,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,n.r,n.r,n.r,n.r,0,0,0,1,1,1,1,1,1,1,1,1,0,,,,n.r,n.r,n.r
Argentina,1995,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.17,0.00,0.33,0.25,0,0.5,0,1,0,0,,,,,,,,0,0,0,0,0,n.a,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,1996,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.06,0.00,0.11,0.25,0,0.5,0,1,0,0,,,,,,,,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1997,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.10,0.00,0.20,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1998,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.18,0.10,0.25,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0
Argentina,1999,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.18,0.10,0.25,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0
Argentina,2000,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.18,0.10,0.25,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0
Argentina,2001,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.28,0.25,0.30,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0.75,0.5,1,0,1,1,1,0,0,0,0,0,0,0.5,1,0,0.5,1,0,0,0,0,0,0,0,0
Argentina,2002,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.43,0.25,0.60,0.5,0,1,0,1,1,0,0.5,0,1,0,1,1,0,0.5,0,1,0,1,1,0,0.5,0,1,0,1,1,0,0.75,0.5,1,0,1,1,1,0,0,0,0.5,0,1,0.5,1,0,0.5,1,0,0,0,0,0,0,0,0
Argentina,2003,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.58,0.35,0.80,0.5,0,1,0,1,1,0,0.75,0.5,1,0,1,1,1,0.75,0.5,1,0,1,1,1,0.5,0,1,0,1,1,0,0.75,0.5,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.5,0,1,1,0,1
Argentina,2004,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.78,0.55,1.00,0.5,0,1,0,1,1,0,0.75,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,1,1,0.5,0,1,1,1,1,1,0.5,0,1,1,0,1
Argentina,2005,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.70,0.40,1.00,0.5,0,1,0,1,1,0,0.75,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.5,1,1,1,1,0,0.5,0,1,1,1,1,0.5,0,1,0.5,0,1,1,0.5,0,1,1,0,1
Argentina,2006,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.45,0.40,0.50,0.75,0.5,1,1,1,1,0,0.75,1,0.5,1,0,1,1,0.5,0.5,0.5,0,0,1,1,0.75,0.5,1,0,1,1,1,0.75,0.5,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2007,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.68,0.60,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0.5,0,1,0,0.25,0,0.5,1,0,0
Argentina,2008,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.75,0.65,0.85,0.75,0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,0,0.25,0,0.5,1,0,0
Argentina,2009,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.78,0.70,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,1,0.25,0,0.5,1,0,0
Argentina,2010,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.78,0.70,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,1,0.25,0,0.5,1,0,0
Argentina,2011,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.83,0.80,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.5,0,1,1,0.75,1,0.5,1,1,0
Argentina,2012,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.88,0.90,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.75,1,0.5,1,1,0
Argentina,2013,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.90,0.90,0.90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,2014,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.90,0.90,0.90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,2015,ARG,213,Latin America & Caribbean,Middle income,Upper middle income,0.88,0.85,0.90,0.75,0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,1995,AUS,193,East Asia & Pacific,High income,High income: OECD,0.19,0.22,0.17,0.25,0,0.5,0,1,0,0,,,,,,,,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,1,n.a
Australia,1996,AUS,193,East Asia & Pacific,High income,High income: OECD,0.22,0.28,0.17,0.5,0.5,0.5,1,1,0,0,,,,,,,,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,1,n.a
Australia,1997,AUS,193,East Asia & Pacific,High income,High income: OECD,0.23,0.25,0.20,0.5,0.5,0.5,1,1,0,0,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,1998,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.30,0.35,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,1999,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.30,0.35,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2000,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.30,0.40,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.75,1,0.5,0,1,1
Australia,2001,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.30,0.40,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.75,1,0.5,0,1,1
Australia,2002,AUS,193,East Asia & Pacific,High income,High income: OECD,0.35,0.30,0.40,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.75,1,0.5,0,1,1
Australia,2003,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.30,0.35,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2004,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.30,0.35,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2005,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.30,0.35,0.5,1,0,1,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2006,AUS,193,East Asia & Pacific,High income,High income: OECD,0.30,0.25,0.35,0.25,0.5,0,0,0,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2007,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.40,0.5,0.5,0.5,0,1,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2008,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.40,0.5,0.5,0.5,0,1,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
Australia,2009,AUS,193,East Asia & Pacific,High income,High income: OECD,0.33,0.25,0.40,0.5,0.5,0.5,0,1,0,1,0.25,0,0.5,0,1,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0.5,0,1,0.5,0,1,0,0,0,0.5,1,0,0,0.5,1,0,0,1,0
